input_set,model,fold,train_rows,valid_rows,train_spearman,valid_spearman,valid_rmse
numeric_smiles,LightGBM,1,2258,1129,0.964393109890656,0.8644516402472575,1.1381358612500454
numeric_smiles,LightGBM,2,2258,1129,0.9611854619053757,0.8914046694675383,1.128945607112668
numeric_smiles,LightGBM,3,2258,1129,0.9614244658627461,0.8925236484118546,1.1387730414636827
numeric_smiles,LightGBM_DART,1,2258,1129,0.923866623132664,0.841764435224425,1.4135494607672698
numeric_smiles,LightGBM_DART,2,2258,1129,0.9163502659524335,0.8718011540640813,1.6443541678969547
numeric_smiles,LightGBM_DART,3,2258,1129,0.9201761893254111,0.8852788469961013,1.472600895134822
numeric_smiles,XGBoost,1,2258,1129,0.9300706832263888,0.8597038315876611,1.156850761811278
numeric_smiles,XGBoost,2,2258,1129,0.923346572540316,0.8842902823357957,1.209688164392264
numeric_smiles,XGBoost,3,2258,1129,0.9221615978464549,0.8843842333294658,1.201167554491564
numeric_smiles,ExtraTrees,1,2258,1129,0.9923759927253446,0.8373158302447938,1.261012339168978
numeric_smiles,ExtraTrees,2,2258,1129,0.9925730753073675,0.8690564616722328,1.2554371768251682
numeric_smiles,ExtraTrees,3,2258,1129,0.9928395391815686,0.880740849726363,1.1825161620564353
numeric_smiles,RandomForest,1,2258,1129,0.9750668610413451,0.8536667568416629,1.1914486294474012
numeric_smiles,RandomForest,2,2258,1129,0.9731047125163762,0.8874644855691572,1.1955236107331213
numeric_smiles,RandomForest,3,2258,1129,0.9720476278213941,0.887607049532564,1.157262302395753
numeric_smiles,FlatMLP,1,2258,1129,0.9647174461128492,0.8103770715754153,1.3774770518241175
numeric_smiles,FlatMLP,2,2258,1129,0.9654276741029851,0.8231598734641504,1.5314752567083103
numeric_smiles,FlatMLP,3,2258,1129,0.9621981140843421,0.8494265770962552,1.4661778144787652
