input_set,model,n,spearman,pearson,rmse,mae,r2,ndcg_at_20,train_oof_spearman_gap,prediction_variance
numeric,LightGBM,3387,0.8776019610469281,0.9164575934410095,1.1586997509002686,0.8854107856750488,0.8392364030226764,0.969236491650136,0.07584733379845165,6.631399631500244
numeric,RandomForest,3387,0.8680013778381168,0.9078172445297241,1.2172105312347412,0.9164918661117554,0.8225903334898925,0.9684516664061864,0.1045519101818645,6.301356792449951
numeric,XGBoost,3387,0.8617336008596809,0.907696545124054,1.2397650480270386,0.9748841524124146,0.8159547415362916,0.9645717406650207,0.048942248253096565,5.594736576080322
numeric,ExtraTrees,3387,0.8587073392485218,0.9023100733757019,1.2458914518356323,0.9190817475318909,0.814131302071468,0.9601902904152462,0.13350170913484827,6.767215251922607
numeric,LightGBM_DART,3387,0.8483308831826594,0.893625020980835,1.565167784690857,1.2515267133712769,0.7066624629966927,0.963553531659409,0.056907192413189644,3.7369778156280518
numeric,FlatMLP,3387,0.8171657312313797,0.8590751886367798,1.4821193218231201,1.141746163368225,0.736965787331941,0.9109982624012146,0.1505369102264108,6.63568639755249
