model_a,model_b,prediction_pearson_corr,prediction_spearman_corr,residual_pearson_corr,mean_abs_prediction_gap
CrossAttention,ResidualMLP,0.9703801274299622,0.9591533888454742,0.8263170123100281,0.507641613483429
CrossAttention,WideDeep,0.9691551327705383,0.9604522119462067,0.8252625465393066,0.5118224620819092
CrossAttention,FlatMLP_existing,0.916018009185791,0.8971125219335395,0.654782772064209,0.8200992941856384
ResidualMLP,WideDeep,0.9575725793838501,0.9472063063701196,0.765338659286499,0.6075337529182434
ResidualMLP,FlatMLP_existing,0.9330742359161377,0.915488845872749,0.7205783724784851,0.749051570892334
WideDeep,FlatMLP_existing,0.9063032269477844,0.890615968373392,0.6638773679733276,0.8410311937332153
