input_set,model,cv,n,spearman,pearson,rmse,mae,r2,ndcg_at_20,train_oof_spearman_gap,prediction_variance,elapsed_sec
numeric_strong_context_smiles_no_lincs,CrossAttention,groupcv_by_drug,3387,0.5190336346722383,0.5898921489715576,2.3489346504211426,1.784090280532837,0.3393252493921495,0.8829944833954404,0.3983464763650342,3.8941102027893066,11.4603590965271
numeric_strong_context_smiles_no_lincs,ResidualMLP,groupcv_by_drug,3387,0.45068443693785887,0.49954724311828613,2.5577163696289062,1.9058927297592163,0.21665948266423174,0.9057674942359659,0.3492425829402771,3.3934578895568848,10.626116037368774
