model,n,spearman,pearson,rmse,mae,r2,ndcg_at_20,prediction_variance
CrossAttention,3387,0.6117809923025498,0.6506953835487366,2.211895704269409,1.654503345489502,0.41416519203374236,0.8727661661575725,4.33105993270874
LightGBM,3387,0.5928204889883998,0.6313308477401733,2.2467041015625,1.6807482242584229,0.3955816703533742,0.8385837230853039,3.7105562686920166
ResidualMLP,3387,0.5846020764224018,0.6328341960906982,2.2713356018066406,1.684580683708191,0.38225606367760645,0.8695901593563005,4.911116600036621
