canonical_drug_id,drug_name,canonical_smiles,target_genes,classification,has_lincs_signature,lincs_signature_source_direct,lincs_signature_source_recovered,local_lincs_name_match_available,local_lincs_smiles_match_available,suggested_action
1003,Camptothecin,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,TOP1,indication_expansion,True,True,False,True,True,keep_existing_lincs
1004,Vinblastine,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,JUN;TUBA1A;TUBB;TUBB2A;TUBD1;TUBE1;TUBG1,screened_candidate,True,True,False,True,True,keep_existing_lincs
1005,Cisplatin,N->[Pt](<-N)(Cl)Cl,A2M;ATOX1;MPG;TF,indication_expansion,True,True,False,True,False,keep_existing_lincs
1006,Cytarabine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,ANTIMETABOLITE;POLB,indication_expansion,True,True,False,True,True,keep_existing_lincs
1007,Docetaxel,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,BCL2;NR1I2;TUBB1,indication_expansion,True,False,True,True,False,keep_existing_lincs
1008,Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,ANTIMETABOLITE;ATIC;DHFR;SLC19A1;SLC46A1;TYMS,indication_expansion,True,True,False,True,True,keep_existing_lincs
1009,Tretinoin,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,ALDH1A1;ALDH1A2;CRABP1;GPRC5A;LCN1;OBP2A;PDK4;RARA;RARB;RARG;RARRES1;RBP4;RXRA;RXRB;RXRG,indication_expansion,True,True,False,True,True,keep_existing_lincs
1010,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,EGFR,indication_expansion,True,True,False,True,True,keep_existing_lincs
1011,Navitoclax,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,BAD;BCL-W;BCL-XL;BCL2;BCL2L1;BCL2L2;CCND1,screened_candidate,True,True,False,True,True,keep_existing_lincs
1012,Vorinostat,O=C(CCCCCCC(=O)Nc1ccccc1)NO,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8;IIA;IIB;IV,indication_expansion,True,True,False,True,True,keep_existing_lincs
1013,Nilotinib,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,ABL;ABL1;CSF3R;DDR2;KIT;PDGFRA,screened_candidate,True,True,False,True,True,keep_existing_lincs
1014,Refametinib,COc1cc(F)c(F)c(Nc2ccc(I)cc2F)c1NS(=O)(=O)C1(C[C@H](O)CO)CC1,MAP2K1;MAP2K2,screened_candidate,False,False,False,False,False,needs_external_lincs_or_analog_imputation
1016,Temsirolimus,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,MTOR,indication_expansion,True,True,False,True,False,keep_existing_lincs
1017,Olaparib,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,AKR1C3;PARP1;PARP2;PARP3,indication_expansion,True,True,False,True,True,keep_existing_lincs
1018,Veliparib,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,PARP1;PARP2,indication_expansion,True,True,False,True,True,keep_existing_lincs
1019,Bosutinib,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,ABL;ABL1;CAMK2G;FGR;HCK;LYN;MAP2K1;MAP2K2;MAP3K2;SLK;SRC;TEC,screened_candidate,True,True,False,True,True,keep_existing_lincs
1020,Lenalidomide,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,CDH5;CRBN;PTGS2;TNF;TNFSF11,indication_expansion,True,True,False,True,True,keep_existing_lincs
1021,Axitinib,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,ABL1;FLT1;FLT4;KDR;KIT;PDGFR,indication_expansion,True,True,False,True,True,keep_existing_lincs
1022,AZD7762,NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1,CHEK1;CHEK2,screened_candidate,True,True,False,True,False,keep_existing_lincs
1023,GW441756,Cl.Cn1cc(C=C2C(=O)Nc3cccnc32)c2ccccc21,NTRK1,screened_candidate,True,True,False,True,False,keep_existing_lincs
1024,Lestaurtinib,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,FLT3;JAK2;NTRK1;NTRK2;NTRK3,screened_candidate,True,True,False,True,True,keep_existing_lincs
1025,SB216763,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,GSK3A;GSK3B,screened_candidate,True,True,False,True,True,keep_existing_lincs
1026,Tanespimycin,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,HSP90;HSP90AA1;HSP90AB1,indication_expansion,True,True,False,True,True,keep_existing_lincs
1029,Motesanib,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,FLT1;FLT4;KDR;KIT;PDGFR;RET,indication_expansion,True,True,False,True,True,keep_existing_lincs
1030,KU-55933,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,ATM,screened_candidate,True,True,False,True,True,keep_existing_lincs
1031,Elesclomol,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1,HSP90,screened_candidate,True,True,False,True,True,keep_existing_lincs
1032,Afatinib,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,EGFR;ERBB2;ERBB4,indication_expansion,True,True,False,True,True,keep_existing_lincs
1033,Vismodegib,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,SMO,indication_expansion,False,False,False,False,False,needs_external_lincs_or_analog_imputation
1034,Staurosporine,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CDK2;CHRM1;CSK;GSK3B;IKBKB;ITK;LCK;MAPKAPK2;PDPK1;PIK3CG;PIM1;PRKCA;PRKCQ;SYK;ZAP70,screened_candidate,True,True,False,True,True,keep_existing_lincs
1036,PLX-4720,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,BRAF;KDR,screened_candidate,True,True,False,True,True,keep_existing_lincs
1037,BX795,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1,AURKB;AURKC;IKK;TBK1,screened_candidate,True,True,False,True,True,keep_existing_lincs
1038,NU7441,O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12,DNAPK,screened_candidate,True,True,False,True,True,keep_existing_lincs
1039,SL0101,CC(=O)OC1C(C)OC(Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)C(O)C1OC(C)=O,AURKB;PIM1;PIM3;RSK,screened_candidate,False,False,False,False,False,needs_external_lincs_or_analog_imputation
1042,Doramapimod,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,HCK;JNK2;MAPK14;P38,screened_candidate,True,True,False,True,True,keep_existing_lincs
1043,JNK Inhibitor VIII,CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,JNK,screened_candidate,False,False,False,False,False,needs_external_lincs_or_analog_imputation
1046,Wee1 Inhibitor,O=C1NC(=O)c2c1c(-c1ccccc1Cl)cc1[nH]c3ccc(O)cc3c21,CHEK1;WEE1,screened_candidate,False,False,False,False,False,needs_external_lincs_or_analog_imputation
1047,Nutlin-3a (-),COc1ccc(C2=NC(c3ccc(Cl)cc3)C(c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,MDM2,screened_candidate,True,False,True,False,True,keep_existing_lincs
1048,Mirin,N=C1NC(=O)/C(=C/c2ccc(O)cc2)S1,MRE11,screened_candidate,True,True,False,True,False,keep_existing_lincs
1049,PD173074,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1,FGFR1;FGFR2;FGFR3,screened_candidate,True,True,False,True,True,keep_existing_lincs
1050,ZM447439,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1,AURKA;AURKB,screened_candidate,True,True,False,True,True,keep_existing_lincs
1051,Alisertib,COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O,AURKA,screened_candidate,True,True,False,True,True,keep_existing_lincs
1052,RO-3306,O=C1NC(=NCc2cccs2)SC1=Cc1ccc2ncccc2c1,CDK1,screened_candidate,True,True,False,True,False,keep_existing_lincs
1053,MK-2206,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,AKT1;AKT2;AKT3;UBE2T,screened_candidate,True,True,False,True,True,keep_existing_lincs
1054,Palbociclib,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,CDK4;CDK6,indication_expansion,True,True,False,True,True,keep_existing_lincs
1057,Dactolisib,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,MTOR;PIK3CG,screened_candidate,True,False,True,False,True,keep_existing_lincs
1058,Pictilisib,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,PIK3CG,screened_candidate,True,False,True,False,True,keep_existing_lincs
1059,AZD8055,COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1CO,MTOR,screened_candidate,True,True,False,True,True,keep_existing_lincs
1060,PD0325901,O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,MAP2K1;MAP2K2,screened_candidate,True,True,False,True,True,keep_existing_lincs
1061,SB590885,CN(C)CCOc1ccc(-c2nc(-c3ccncc3)c(-c3ccc4c(c3)CC/C4=N\O)[nH]2)cc1,BRAF,screened_candidate,True,True,False,True,False,keep_existing_lincs
1062,Selumetinib,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,MAP2K1;MAP2K2,indication_expansion,True,False,True,True,True,keep_existing_lincs
1067,CCT007093,O=C1C(=Cc2cccs2)CCC1=Cc1cccs1,PPM1D,screened_candidate,False,False,False,False,False,needs_external_lincs_or_analog_imputation
1068,Obatoclax Mesylate,COC1=CC(c2cc3ccccc3[nH]2)=N/C1=C\c1[nH]c(C)cc1C.CS(=O)(=O)O,BCL-W;BCL-XL;BCL2;MCL1,screened_candidate,False,False,False,False,False,needs_external_lincs_or_analog_imputation
1069,EHT-1864,Cl.Cl.O=c1cc(CN2CCOCC2)occ1OCCCCCSc1ccnc2cc(C(F)(F)F)ccc12,RAC1;RAC2;RAC3,screened_candidate,False,False,False,False,False,needs_external_lincs_or_analog_imputation
1072,Avagacestat,NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1,APH1A;APH1B;NCSTN;PSEN1;PSENEN,screened_candidate,False,False,False,False,False,needs_external_lincs_or_analog_imputation
1073,5-Fluorouracil,O=c1[nH]cc(F)c(=O)[nH]1,,screened_candidate,True,False,True,False,True,keep_existing_lincs
