input_set,model,fold,train_rows,valid_rows,train_spearman,valid_spearman,valid_rmse
numeric_strong_context_smiles_pan_lincs,LightGBM,1,2258,1129,0.9637473844092581,0.8624057061143929,1.1568024606004144
numeric_strong_context_smiles_pan_lincs,LightGBM,2,2258,1129,0.9603750666620591,0.8897268128496847,1.156871420436859
numeric_strong_context_smiles_pan_lincs,LightGBM,3,2258,1129,0.9607200317668422,0.8869285722101787,1.1613782792773186
numeric_strong_context_smiles_pan_lincs,LightGBM_DART,1,2258,1129,0.9197877418138884,0.8348368517927591,1.448112461014857
numeric_strong_context_smiles_pan_lincs,LightGBM_DART,2,2258,1129,0.9141417605116341,0.868961472843451,1.6645487354669106
numeric_strong_context_smiles_pan_lincs,LightGBM_DART,3,2258,1129,0.9196030532146635,0.8741313505706861,1.4963297608342023
numeric_strong_context_smiles_pan_lincs,XGBoost,1,2258,1129,0.9280475163829454,0.8604034252106403,1.1718721348754138
numeric_strong_context_smiles_pan_lincs,XGBoost,2,2258,1129,0.9219036780346553,0.8811573279581566,1.2267768958183316
numeric_strong_context_smiles_pan_lincs,XGBoost,3,2258,1129,0.9243315334836132,0.8837926103210982,1.1938008361147014
numeric_strong_context_smiles_pan_lincs,ExtraTrees,1,2258,1129,0.9916877645896137,0.8306155405842229,1.329859959496182
numeric_strong_context_smiles_pan_lincs,ExtraTrees,2,2258,1129,0.9920336748460973,0.8682713902510458,1.2646232859830993
numeric_strong_context_smiles_pan_lincs,ExtraTrees,3,2258,1129,0.9925100201976651,0.8766828862627838,1.2019277898271434
numeric_strong_context_smiles_pan_lincs,RandomForest,1,2258,1129,0.9737000677382819,0.8527030405676498,1.2305254956251999
numeric_strong_context_smiles_pan_lincs,RandomForest,2,2258,1129,0.9715074897667819,0.8838635284808786,1.222697827617156
numeric_strong_context_smiles_pan_lincs,RandomForest,3,2258,1129,0.9707999307135562,0.8792876045069518,1.197023707349232
numeric_strong_context_smiles_pan_lincs,FlatMLP,1,2258,1129,0.9596314257428351,0.7866518106124597,1.5110894611725365
numeric_strong_context_smiles_pan_lincs,FlatMLP,2,2258,1129,0.9691127874748628,0.8469239755668705,1.4416969741361085
numeric_strong_context_smiles_pan_lincs,FlatMLP,3,2258,1129,0.9642075520910341,0.8217838404523108,1.485504536841531
