variant,input_set,model,n,spearman,pearson,rmse,mae,r2,ndcg_at_20
baseline_mcf7_lincs,numeric_strong_context_smiles,ExtraTrees,3387,0.5112462989345974,0.49028512835502625,2.6134138107299805,1.9300626516342163,0.1821715498965022,0.7221685699521869
no_lincs,numeric_strong_context_smiles_no_lincs,ExtraTrees,3387,0.4180155210868312,0.4391412138938904,2.765683174133301,2.023479461669922,0.08409434900997137,0.8615233212465874
pancancer_lincs,numeric_strong_context_smiles_pan_lincs,ExtraTrees,3387,0.5036444401607713,0.5127394795417786,2.56950044631958,1.9267367124557495,0.2094247071584493,0.863989087325329
