input_set,model,fold,train_rows,valid_rows,train_spearman,valid_spearman,valid_rmse
numeric_smiles_pan_lincs,LightGBM,1,2258,1129,0.9636729527038219,0.8633242080207698,1.1559535629802582
numeric_smiles_pan_lincs,LightGBM,2,2258,1129,0.9609450918183295,0.8888516467430186,1.1614405463553603
numeric_smiles_pan_lincs,LightGBM,3,2258,1129,0.9596514542063481,0.8869326498478752,1.1625170106658076
numeric_smiles_pan_lincs,LightGBM_DART,1,2258,1129,0.9195596252749992,0.8364629646390128,1.4485041978599804
numeric_smiles_pan_lincs,LightGBM_DART,2,2258,1129,0.9143540103818293,0.8711759791293838,1.6598200114419248
numeric_smiles_pan_lincs,LightGBM_DART,3,2258,1129,0.9190102553754304,0.8746871911328776,1.5006334733196234
numeric_smiles_pan_lincs,XGBoost,1,2258,1129,0.9271610752822144,0.8586098834911973,1.179662548474111
numeric_smiles_pan_lincs,XGBoost,2,2258,1129,0.9220753195674168,0.8818148115888857,1.228122630534022
numeric_smiles_pan_lincs,XGBoost,3,2258,1129,0.9233207100338982,0.8796149912832265,1.2160435645819894
numeric_smiles_pan_lincs,ExtraTrees,1,2258,1129,0.9917932379612121,0.8297815177562733,1.3276865557174906
numeric_smiles_pan_lincs,ExtraTrees,2,2258,1129,0.9920289019699035,0.8669589758900399,1.2707669623873386
numeric_smiles_pan_lincs,ExtraTrees,3,2258,1129,0.9923605121181389,0.8742993027304169,1.2144271574347811
numeric_smiles_pan_lincs,RandomForest,1,2258,1129,0.973607969677356,0.8534078881708623,1.2297625362076516
numeric_smiles_pan_lincs,RandomForest,2,2258,1129,0.971438088665507,0.884530818454902,1.2195645644620228
numeric_smiles_pan_lincs,RandomForest,3,2258,1129,0.9707922137472198,0.8794629929602613,1.1972351665481216
numeric_smiles_pan_lincs,FlatMLP,1,2258,1129,0.9547931698066511,0.7771019707189426,1.5243296961889952
numeric_smiles_pan_lincs,FlatMLP,2,2258,1129,0.9528875663188847,0.8130477541880118,1.5690048776361782
numeric_smiles_pan_lincs,FlatMLP,3,2258,1129,0.9551518002379016,0.8222468816458555,1.5557374792847067
