input_set,model,fold,best_epoch,best_valid_rmse,elapsed_sec,train_spearman,valid_spearman,valid_rmse,valid_r2
numeric_strong_context_smiles_pan_lincs,ResidualMLP,1,45,1.2173519134521484,10.410845041275024,0.9758697725350796,0.8622728826961812,1.2173519134521484,0.8103172401595983
numeric_strong_context_smiles_pan_lincs,ResidualMLP,2,52,1.1447640657424927,9.531380891799927,0.9722532519326544,0.8829397892877413,1.1447640657424927,0.8491751819740048
numeric_strong_context_smiles_pan_lincs,ResidualMLP,3,42,1.2759575843811035,8.328516006469727,0.964788495761099,0.8801877534518412,1.2759575843811035,0.8094290543143619
numeric_strong_context_smiles_pan_lincs,WideDeep,1,28,1.21136474609375,5.5566160678863525,0.9402540914955357,0.8607959588726298,1.21136474609375,0.81217845481348
numeric_strong_context_smiles_pan_lincs,WideDeep,2,32,1.1765309572219849,5.310401916503906,0.9217948410307993,0.8773282344184019,1.1765309572219849,0.8406883652975571
numeric_strong_context_smiles_pan_lincs,WideDeep,3,14,1.2736425399780273,3.1279850006103516,0.8951390163511815,0.8711898079620899,1.2736425399780273,0.8101199691501633
numeric_strong_context_smiles_pan_lincs,CrossAttention,1,29,1.109734058380127,7.223412036895752,0.9562947480285452,0.87909931938724,1.109734058380127,0.8423719984902226
numeric_strong_context_smiles_pan_lincs,CrossAttention,2,24,1.076411485671997,3.6895947456359863,0.9467348932067844,0.8935019047915015,1.076411485671997,0.8666486540685218
numeric_strong_context_smiles_pan_lincs,CrossAttention,3,12,1.1779502630233765,2.4142909049987793,0.9203046001843752,0.8880653492223702,1.1779502630233765,0.8375805069532178
