canonical_drug_id,drug_name,assay,match_type,similarity,predicted_label
1014,Refametinib,lipophilicity_astrazeneca,no_match,0.2839506172839506,2
1014,Refametinib,pgp_broccatelli,no_match,0.26865671641791045,0
1014,Refametinib,ppbr_az,no_match,0.2875,95
1014,Refametinib,solubility_aqsoldb,no_match,0.2537313432835821,0
1014,Refametinib,vdss_lombardo,no_match,0.313953488372093,15
1908,Ulixertinib,ames,no_match,0.25333333333333335,0
1908,Ulixertinib,bbb_martins,no_match,0.2535211267605634,1
1908,Ulixertinib,bioavailability_ma,no_match,0.2535211267605634,1
1908,Ulixertinib,caco2_wang,no_match,0.26804123711340205,-4
1908,Ulixertinib,clearance_hepatocyte_az,no_match,0.5308641975308642,12
1908,Ulixertinib,clearance_microsome_az,no_match,0.5308641975308642,25
1908,Ulixertinib,cyp2c9_substrate_carbonmangels,no_match,0.2535211267605634,0
1908,Ulixertinib,cyp2c9_veith,no_match,0.29411764705882354,0
1908,Ulixertinib,cyp2d6_substrate_carbonmangels,no_match,0.2535211267605634,0
1908,Ulixertinib,cyp2d6_veith,no_match,0.29411764705882354,0
1908,Ulixertinib,cyp3a4_substrate_carbonmangels,no_match,0.2535211267605634,1
1908,Ulixertinib,cyp3a4_veith,no_match,0.29411764705882354,0
1908,Ulixertinib,dili,no_match,0.2535211267605634,0
1908,Ulixertinib,half_life_obach,no_match,0.22784810126582278,2
1908,Ulixertinib,herg,no_match,0.2361111111111111,0
1908,Ulixertinib,hia_hou,no_match,0.21951219512195122,1
1908,Ulixertinib,ld50_zhu,no_match,0.2727272727272727,2
1908,Ulixertinib,lipophilicity_astrazeneca,no_match,0.2727272727272727,2
1908,Ulixertinib,pgp_broccatelli,no_match,0.23076923076923078,0
1908,Ulixertinib,ppbr_az,no_match,0.2602739726027397,96
1908,Ulixertinib,solubility_aqsoldb,no_match,0.26865671641791045,-2
1908,Ulixertinib,vdss_lombardo,no_match,0.25316455696202533,3
1564,SCH772984,ames,no_match,0.23333333333333334,0
1564,SCH772984,bbb_martins,no_match,0.26881720430107525,1
1564,SCH772984,bioavailability_ma,no_match,0.24271844660194175,1
1564,SCH772984,caco2_wang,no_match,0.25806451612903225,-4
1564,SCH772984,clearance_hepatocyte_az,no_match,0.2823529411764706,16
1564,SCH772984,clearance_microsome_az,no_match,0.3020833333333333,4
1564,SCH772984,cyp2c9_substrate_carbonmangels,no_match,0.24271844660194175,1
1564,SCH772984,cyp2c9_veith,no_match,0.2976190476190476,1
1564,SCH772984,cyp2d6_substrate_carbonmangels,no_match,0.24271844660194175,1
1564,SCH772984,cyp2d6_veith,no_match,0.3058823529411765,0
1564,SCH772984,cyp3a4_substrate_carbonmangels,no_match,0.24271844660194175,1
1564,SCH772984,cyp3a4_veith,no_match,0.2891566265060241,1
