rank,canonical_drug_id,drug_name,canonical_smiles,target_genes,PATHWAY_NAME_NORMALIZED,classification,mean_pred_ln_ic50,mixed_score,screened_rows
21,1845,Schweinfurthin A,CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2cc(O)c3c(c2)C[C@@H]2C(C)(C)[C@H](O)[C@H](O)C[C@@]2(C)O3)cc1O,,Unclassified,screened_candidate,1.9584929,-1.9584929,12
22,1594,OSI-027,COc1cccc2cc(-c3nc([C@H]4CC[C@H](C(=O)O)CC4)n4ncnc(N)c34)[nH]c12,MTOR,PI3K/MTOR signaling,screened_candidate,1.9675217,-1.9675217,16
23,1915,AZD3759,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC(=O)N1CCN(C)C[C@H]1C,EGFR,EGFR signaling,screened_candidate,1.96871,-1.96871,16
24,1372,Trametinib,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,MAP2K1;MAP2K2,ERK MAPK signaling,approved,2.1157634,-2.1157634,16
25,1034,Staurosporine,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CDK2;CHRM1;CSK;GSK3B;IKBKB;ITK;LCK;MAPKAPK2;PDPK1;PIK3CG;PIM1;PRKCA;PRKCQ;SYK;ZAP70,RTK signaling,screened_candidate,2.1256692,-2.1256692,16
26,1096,Tozasertib,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,AURKA;AURKB;AURKC;LCK;OTHERS,Mitosis,screened_candidate,2.1290596,-2.1290596,2
27,1029,Motesanib,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,FLT1;FLT4;KDR;KIT;PDGFR;RET,RTK signaling,indication_expansion,2.1373873,-2.1373873,16
28,1033,Vismodegib,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,SMO,Other,indication_expansion,2.1539528,-2.1539528,16
29,1720,AZD5991,Cc1c2c(nn1C)CSCc1cc(n(C)n1)CSc1cc(c3ccccc3c1)OCCCc1c(C(=O)O)n(C)c3c-2c(Cl)ccc13,MCL1,Apoptosis regulation,screened_candidate,2.1599324,-2.1599324,11
30,1918,AZD8186,C[C@@H](Nc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,PI3KALPHA;PI3KBETA;PIK3CB;PIK3CG,PI3K/MTOR signaling,screened_candidate,2.1977556,-2.1977556,16
