input_set,model,cv,fold,valid_drug_groups,best_epoch,best_valid_rmse,elapsed_sec,train_spearman,valid_spearman,valid_rmse,valid_r2
numeric_strong_context_smiles_pan_lincs,ResidualMLP,groupcv_by_drug,1,82,13,2.2861738204956055,4.918362855911255,0.8961733577413827,0.602936710145939,2.2861738204956055,0.3403662481454922
numeric_strong_context_smiles_pan_lincs,ResidualMLP,groupcv_by_drug,2,80,8,1.9206128120422363,3.377432107925415,0.8548860843114375,0.5676898587390078,1.9206128120422363,0.4283713679545367
numeric_strong_context_smiles_pan_lincs,ResidualMLP,groupcv_by_drug,3,81,13,2.5612869262695312,3.9861092567443848,0.8905966959944859,0.5736076369685132,2.5612869262695312,0.3734990014080083
numeric_strong_context_smiles_pan_lincs,WideDeep,groupcv_by_drug,1,82,5,2.3930907249450684,2.308900833129883,0.8728456977081606,0.559199103426332,2.3930907249450684,0.27722564389736604
numeric_strong_context_smiles_pan_lincs,WideDeep,groupcv_by_drug,2,80,4,2.198436737060547,2.1691126823425293,0.8704603557043294,0.46125490014957865,2.198436737060547,0.2510336473251532
numeric_strong_context_smiles_pan_lincs,WideDeep,groupcv_by_drug,3,81,3,2.5186963081359863,2.1080191135406494,0.8452819498476548,0.5740536212988895,2.5186963081359863,0.394161431732884
numeric_strong_context_smiles_pan_lincs,CrossAttention,groupcv_by_drug,1,82,2,2.1188642978668213,1.879451036453247,0.8686324180246038,0.6439985394870735,2.1188642978668213,0.43338152739071956
numeric_strong_context_smiles_pan_lincs,CrossAttention,groupcv_by_drug,2,80,1,1.9633541107177734,1.6555402278900146,0.7884426133591294,0.5488514255568139,1.9633541107177734,0.4026462445629714
numeric_strong_context_smiles_pan_lincs,CrossAttention,groupcv_by_drug,3,81,2,2.516453981399536,1.5466220378875732,0.8475284699179133,0.6231134486435778,2.516453981399536,0.3952396775946141
