cv,model_a,model_b,prediction_pearson_corr,prediction_spearman_corr,residual_pearson_corr,mean_abs_prediction_gap
random3,CrossAttention,ResidualMLP,0.9703603386878967,0.9584977297767087,0.8311131596565247,0.5143065452575684
random3,CrossAttention,LightGBM,0.9823406934738159,0.9758561877076943,0.8788418769836426,0.39390096068382263
random3,ResidualMLP,LightGBM,0.9634556174278259,0.9535592685392212,0.7940801978111267,0.5611964464187622
