cv,model,n,spearman,pearson,rmse,mae,r2,ndcg_at_20,prediction_variance
random3,CrossAttention,3387,0.8865782756209227,0.9229980111122131,1.1201227903366089,0.8481928110122681,0.8497629223068701,0.9553074726660922,7.8461995124816895
random3,LightGBM,3387,0.8848487815113646,0.9189019203186035,1.1440339088439941,0.8684800863265991,0.8432802930813794,0.9558166245990376,6.558382511138916
random3,ResidualMLP,3387,0.874020086870166,0.9106007218360901,1.2050658464431763,0.9207642674446106,0.826112878325781,0.9216217304628155,7.750627517700195
