cv,ensemble,n,spearman,pearson,rmse,mae,r2,ndcg_at_20,prediction_variance
random3,spearman_weighted,3387,0.8923707750315015,0.9261628985404968,1.0902247428894043,0.8299238681793213,0.8576760631736878,0.954055198578953,7.234708309173584
random3,equal_weight,3387,0.8923449658479894,0.9261443018913269,1.0903629064559937,0.8300556540489197,0.8576399993727666,0.9505572589660771,7.2356858253479
