input_set,variant,model,spearman,rmse,r2,ndcg_at_20
numeric,baseline_with_lincs,LightGBM,0.8776019610469281,1.1586997509002686,0.8392364030226764,0.969236491650136
numeric,no_lincs,LightGBM,0.8761748253650122,1.1906417608261108,0.8302506878449284,0.9338907790516102
numeric_smiles,baseline_with_lincs,LightGBM,0.8833276915410773,1.13529372215271,0.845665745926258,0.9654011855029416
numeric_smiles,no_lincs,LightGBM,0.8845141887560638,1.1493055820465088,0.8418326195697976,0.9490348164848644
numeric_strong_context_smiles,baseline_with_lincs,LightGBM,0.8834859902750168,1.126425862312317,0.8480673535696814,0.9688983757690606
numeric_strong_context_smiles,no_lincs,LightGBM,0.8848487815113646,1.144033908843994,0.8432802930813794,0.9558166245990376
