thyroid_selective_rank,drug_name,canonical_drug_id,canonical_smiles,target_genes,PATHWAY_NAME_NORMALIZED,classification,ranking_layer,thyroid_selective_score,ensemble_score,mean_pred_ln_ic50,thyroid_mean_ln_ic50,pancancer_mean_ln_ic50,selectivity_delta_ln_ic50,thyroid_sensitive_rate,thyroid_context_score,broad_cytotoxic_flag,broad_cytotoxic_penalty,thyroid_observed_cell_lines,pancancer_cell_lines,pancancer_tcga_types,thyroid_targeted_rank
166,Dihydrorotenone,1827,COc1cc2c(cc1OC)[C@@H]1C(=O)c3ccc4c(c3O[C@@H]1CO2)CC(C(C)C)O4,,Unclassified,screened_candidate,screened_selectivity_candidate,0.22863247863247865,-2.195037623246511,2.195037623246511,1.738179,0.7690999416785207,-0.9690790583214792,0.9166666666666666,0.0,False,0.2,12,703,30,131
167,Schweinfurthin A,1845,CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2cc(O)c3c(c2)C[C@@H]2C(C)(C)[C@H](O)[C@H](O)C[C@@]2(C)O3)cc1O,,Unclassified,screened_candidate,screened_selectivity_candidate,0.2235042735042735,-2.3581995169321694,2.3581995169321694,2.02406925,1.0756140411931818,-0.9484552088068183,0.8333333333333334,0.0,False,0.2,12,704,30,132
168,glutathione,2439,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,AKR1B1;CYP3A4;ESD;GGT1;GLO1;GLRX;GLRX2;GPX1;GPX2;GPX3;GPX4;GPX5;GPX6;GPX7;GSR;GSS;GSTA1;GSTA2;GSTA3;GSTA4;GSTA5;GSTK1;GSTM1;GSTM2;GSTM3;GSTM4;GSTM5;GSTO1;GSTO2;GSTP1;GSTT1;GSTZ1;HAGH;HPGDS;IMPDH1;LTC4S;MGST1;MGST2;MGST3;MMP9,Other,indication_expansion,screened_selectivity_candidate,0.22256410256410253,-8.707685674939837,8.707685674939837,9.501134785714285,9.158799423398328,-0.34233536231595707,0.0,0.1,False,0.0,14,718,30,133
169,MN-64,1854,CC(C)c1ccc(-c2cc(=O)c3ccccc3o2)cc1,TNKS1;TNKS2,WNT signaling,screened_candidate,screened_selectivity_candidate,0.2205128205128205,-4.986953701291766,4.986953701291766,5.213908642857143,4.6600725079545455,-0.5538361349025971,0.07142857142857142,0.0,False,0.0,14,880,31,134
172,Serdemetan,1133,c1ccc2c(CCNc3ccc(Nc4ccncc4)cc3)c[nH]c2c1,MDM2,P53 pathway,screened_candidate,screened_selectivity_candidate,0.2153846153846154,-4.357953771948814,4.357953771948814,4.5700246875,3.7354034828326177,-0.8346212046673824,0.125,0.0,False,0.0,16,932,31,135
174,SB505124,1194,Cc1cccc(-c2[nH]c(C(C)(C)C)nc2-c2ccc3c(c2)OCO3)n1,ACVR1B;ACVR1C;TGFBR1,RTK signaling,screened_candidate,screened_selectivity_candidate,0.21128205128205127,-3.9943361282348633,3.9943361282348633,5.490785000000001,3.643626908745247,-1.8471580912547538,0.0,0.3,False,0.0,2,263,24,136
176,alpha-lipoic acid,2498,O=C(O)CCCC[C@@H]1CCSS1,,Metabolism,screened_candidate,screened_selectivity_candidate,0.2005982905982906,-7.432095391409738,7.432095391409738,8.202943642857143,7.6390167822468795,-0.5639268606102634,0.0,0.3,False,0.0,14,721,30,137
177,AZD1208,1449,NC1CCCN(c2c(/C=C3/SC(=O)NC3=O)cccc2-c2ccccc2)C1,PIM1;PIM2;PIM3,Other kinases,screened_candidate,screened_selectivity_candidate,0.198034188034188,-5.008037368456523,5.008037368456523,5.932255583333333,5.217284525568182,-0.7149710577651511,0.0,0.3,False,0.0,12,704,30,138
178,POMHEX,2148,CC(C)(C)C(=O)OCOP(=O)(OCOC(=O)C(C)(C)C)C1CCCN(O)C1=O,,Unclassified,screened_candidate,screened_selectivity_candidate,0.19786324786324788,-3.036728390625545,3.036728390625545,2.158358285714286,1.3029231086657496,-0.8554351770485362,0.9285714285714286,0.0,False,0.2,14,727,30,139
179,Cytarabine,1006,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,ANTIMETABOLITE;POLB,Other,indication_expansion,screened_selectivity_candidate,0.19735042735042735,-2.5296139610665187,2.5296139610665187,2.6710288571428573,1.5323954691358026,-1.1386333880070547,0.6428571428571429,0.1,False,0.2,14,729,30,140
182,Avagacestat,1072,NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1,APH1A;APH1B;NCSTN;PSEN1;PSENEN,Other,screened_candidate,screened_selectivity_candidate,0.18504273504273502,-4.961581707000732,4.961581707000732,5.4006700625,4.743995990405118,-0.6566740720948818,0.0,0.0,False,0.0,16,938,31,141
184,ascorbate (vitamin C),2438,O=C1OC(C(O)CO)C(O)=C1[O-],,Other,screened_candidate,screened_selectivity_candidate,0.18162393162393162,-9.352603707994733,9.352603707994733,10.6151355,10.243136373259052,-0.37199912674094726,0.0,0.0,False,0.0,14,718,30,142
187,LY2109761,1852,c1ccc(-c2nn3c(c2-c2ccnc4cc(OCCN5CCOCC5)ccc24)CCC3)nc1,TGFB1,Other,screened_candidate,screened_selectivity_candidate,0.17393162393162392,-5.089035068239484,5.089035068239484,5.575648999999999,4.966942059225513,-0.6087069407744865,0.0,0.0,False,0.0,14,878,31,143
189,Veliparib,1018,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,PARP1;PARP2,Genome integrity,indication_expansion,screened_selectivity_candidate,0.16230769230769226,-5.335039138793945,5.335039138793945,5.8754349375,5.245582887459808,-0.6298520500401921,0.0,0.1,False,0.0,16,933,31,144
190,ICL-SIRT078,2011,COc1ccc2ccccc2c1Cn1cnc2sc3c(c2c1=O)CCC(NCc1cccnc1)C3,SIR2,Other,screened_candidate,screened_selectivity_candidate,0.1594017094017094,-4.696839230401175,4.696839230401175,5.152490071428572,4.273273413223141,-0.879216658205431,0.21428571428571427,0.0,False,0.0,14,726,30,145
194,CCT007093,1067,O=C1C(=Cc2cccs2)CCC1=Cc1cccs1,PPM1D,Cell cycle,screened_candidate,screened_selectivity_candidate,0.15042735042735042,-5.466372172037761,5.466372172037761,5.765808866666666,5.174609452871072,-0.5911994137955938,0.0,0.0,False,0.0,15,923,31,146
195,VE821,2111,CS(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,ATR,Genome integrity,screened_candidate,screened_selectivity_candidate,0.14786324786324787,-4.746109390258789,4.746109390258789,4.903946466666667,3.920741822649573,-0.9832046440170936,0.3333333333333333,0.0,False,0.0,15,936,31,147
197,Nutlin-3a (-),1047,COc1ccc(C2=NC(c3ccc(Cl)cc3)C(c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,MDM2,P53 pathway,screened_candidate,screened_selectivity_candidate,0.14273504273504273,-4.860262006521225,4.860262006521225,5.2931241875,4.401480959033613,-0.8916432284663873,0.125,0.0,False,0.0,16,952,31,148
199,Ibrutinib,1799,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,BTK,Other kinases,screened_candidate,screened_selectivity_candidate,0.13606837606837607,-4.913198675428118,4.913198675428118,5.642672928571429,4.02666331849315,-1.6160096100782786,0.07142857142857142,0.3,False,0.0,14,876,31,149
202,KU-55933,1030,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,ATM,Genome integrity,screened_candidate,screened_selectivity_candidate,0.1222222222222222,-5.290611982345581,5.290611982345581,5.7511175625,5.021846380191694,-0.729271182308306,0.0,0.0,False,0.0,16,939,31,150
203,GSK2830371,2359,Cc1ncc(Cl)cc1NCc1ccc(C(=O)NC(CC2CCCC2)C(=O)NC2CC2)s1,WIP1,Other,screened_candidate,screened_selectivity_candidate,0.11538461538461539,-5.321939945220947,5.321939945220947,6.113710357142857,5.398117991631799,-0.7155923655110579,0.0,0.0,False,0.0,14,717,30,151
206,Remodelin,2057,N#Cc1ccc(-c2csc(NN=C3CCCC3)n2)cc1,,Unclassified,screened_candidate,screened_selectivity_candidate,0.1047008547008547,-5.122705777486165,5.122705777486165,5.643276833333334,4.8032847087912085,-0.8399921245421256,0.0,0.0,False,0.0,6,364,28,152
207,BEN,1847,N=C(N)c1ccccc1,,Unclassified,indication_expansion,screened_selectivity_candidate,0.09777777777777778,-5.019561807314555,5.019561807314555,5.443466333333333,3.950840852482269,-1.4926254808510642,0.08333333333333333,0.1,False,0.0,12,705,30,153
211,5-Fluorouracil,1073,O=c1[nH]cc(F)c(=O)[nH]1,,Other,screened_candidate,screened_selectivity_candidate,0.07863247863247863,-5.116562113165855,5.116562113165855,5.450051625,4.368635517857142,-1.081416107142858,0.1875,0.0,False,0.0,16,952,31,154
216,Acetalax,1804,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)Nc3ccccc32)cc1,,Unclassified,screened_candidate,screened_selectivity_candidate,0.053418803418803416,-5.112762689590454,5.112762689590454,5.8198055,4.554897078014185,-1.2649084219858153,0.08333333333333333,0.0,False,0.0,12,705,30,155
