thyroid_selective_rank,drug_name,canonical_drug_id,canonical_smiles,target_genes,PATHWAY_NAME_NORMALIZED,classification,ranking_layer,thyroid_selective_score,ensemble_score,mean_pred_ln_ic50,thyroid_mean_ln_ic50,pancancer_mean_ln_ic50,selectivity_delta_ln_ic50,thyroid_sensitive_rate,thyroid_context_score,broad_cytotoxic_flag,broad_cytotoxic_penalty,thyroid_observed_cell_lines,pancancer_cell_lines,pancancer_tcga_types
211,5-Fluorouracil,1073,O=c1[nH]cc(F)c(=O)[nH]1,,Other,screened_candidate,screened_selectivity_candidate,0.07863247863247863,-5.116562113165855,5.116562113165855,5.450051625,4.368635517857142,-1.081416107142858,0.1875,0.0,False,0.0,16,952,31
212,Cyclophosphamide,1512,O.O=P1(N(CCCl)CCCl)NCCCO1,NR1I2,DNA replication,indication_expansion,broad_cytotoxic_downweighted,0.0781196581196581,-5.27447709441185,5.27447709441185,5.5210665625,5.246953045696069,-0.27411351680393103,0.0,0.1,True,0.2,16,941,31
213,ML323,1629,Cc1cnc(-c2ccccc2C(C)C)nc1NCc1ccc(-n2ccnn2)cc1,UAF1;USP1,Protein stability and degradation,screened_candidate,broad_cytotoxic_downweighted,0.07478632478632474,-4.671614646911621,4.671614646911621,4.9694999285714285,4.5330833637400225,-0.436416564831406,0.07142857142857142,0.0,True,0.2,14,877,31
214,P22077,1933,CC(=O)c1cc([N+](=O)[O-])c(Sc2ccc(F)cc2F)s1,USP47;USP7,Protein stability and degradation,screened_candidate,broad_cytotoxic_downweighted,0.07051282051282048,-4.649963781237602,4.649963781237602,4.89037425,4.394118820594479,-0.4962554294055206,0.25,0.0,True,0.2,16,942,31
215,WEHI-539,1997,NCc1ccc(OCCCc2sc(-c3ccc4c(c3)C(=NNc3nc5ccccc5s3)CCC4)nc2C(=O)O)cc1,BCL-XL,Apoptosis regulation,screened_candidate,broad_cytotoxic_downweighted,0.06709401709401708,-4.066639304161072,4.066639304161072,4.4103944375,3.6642554746300213,-0.7461389628699786,0.3125,0.0,True,0.2,16,946,31
216,Acetalax,1804,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)Nc3ccccc32)cc1,,Unclassified,screened_candidate,screened_selectivity_candidate,0.053418803418803416,-5.112762689590454,5.112762689590454,5.8198055,4.554897078014185,-1.2649084219858153,0.08333333333333333,0.0,False,0.0,12,705,30
217,AZD5582,1617,CNC(C)C(=O)NC(C(=O)N1CCCC1C(=O)NC1c2ccccc2CC1OCC#CC#CCOC1Cc2ccccc2C1NC(=O)C1CCCN1C(=O)C(NC(=O)C(C)NC)C1CCCCC1)C1CCCCC1,CIAP;XIAP,Apoptosis regulation,screened_candidate,broad_cytotoxic_downweighted,0.042307692307692296,-3.9030052764075145,3.9030052764075145,3.750268785714286,2.1373358419838526,-1.6129329437304332,0.5,0.0,True,0.2,14,867,31
218,EPZ004777,1237,CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)CC1OC(n2ccc3c(N)ncnc32)C(O)C1O,DOT1L,Chromatin histone methylation,screened_candidate,broad_cytotoxic_downweighted,0.023675213675213663,-5.029356479644775,5.029356479644775,5.7786015625,5.136533758693361,-0.642067803806639,0.0,0.3,True,0.2,16,949,31
219,Cisplatin,1005,N->[Pt](<-N)(Cl)Cl,A2M;ATOX1;MPG;TF,DNA replication,indication_expansion,broad_cytotoxic_downweighted,0.014871794871794852,-4.3955557857240946,4.3955557857240946,4.256104642857143,3.203067163538874,-1.0530374793182693,0.2857142857142857,0.1,True,0.2,14,746,30
220,OF-1,1853,COc1cc2c(cc1NS(=O)(=O)c1ccc(Br)cc1C)n(C)c(=O)n2C,BRPF1B;BRPF2,Chromatin histone acetylation,screened_candidate,broad_cytotoxic_downweighted,0.002136752136752129,-4.234836101531982,4.234836101531982,4.971903571428571,4.105373386363636,-0.866530185064935,0.21428571428571427,0.0,True,0.2,14,880,31
